Category,reg_id,type,Q.Num,Q,A,reference
Administrasi Kepemerintahan,PERPRES_2015_9,Q6,4,Apa yang dilakukan Deputi Bidang Koordinasi Perlindungan Perempuan dan Anak dalam melaksanakan tugas?,"menyelenggarakan
1. koordinasi dan sinkronisasi perumusan, penetapan, dan pelaksanaan kebijakan Kementerian/Lembaga yang terkait dengan isu di bidang perlindungan perempuan dan anak;
2. pengendalian pelaksanaan kebijakan Kementerian/ Lembaga yang terkait dengan isu di bidang perlindungan perempuan dan anak;
3. koordinasi dan sinkronisasi perumusan kebijakan di bidang kesetaraan dan keadilan gender;
4. koordinasi dan sinkronisasi perumusan kebijakan di bidang pengarusutamaan gender;
5. koordinasi dan sinkronisasi perumusan kebijakan di bidang perlindungan dan pemberdayaan perempuan;
6. koordinasi dan sinkronisasi perumusan kebijakan di bidang perlindungan dan pemberdayaan anak;
7. pemantauan, analisis, evaluasi, dan pelaporan di bidang pemberdayaan dan perlindungan perempuan dan anak; dan
8. pelaksanaan fungsi lain yang diberikan oleh Menteri Koordinator.",Pasal 26
Administrasi Kepemerintahan,PERPRES_2015_9,Q6,5,Apa yang harus dilakukan Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan?,"Menyusun analisa jabatan, peta jabatan, analisa beban kerja, dan uraian tugas terhadap seluruh jabatan di lingkungan Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan.",Pasal 38
Keuangan,UU_1983_8,Q6,1,berapakah tarif pajak pertambahan nilai?,sepuluh persen,Pasal 7 ayat 1
Keuangan,UU_1983_8,Q6,2,apa sanksi bagi pengusaha kena pajak yang tidak membuat faktur pajak?,denda dua persen dari dasar pengenaan pajak,Pasal 13 ayat 8
Keuangan,UU_1983_8,Q6,3,apakah badan yang tidak dikukuhkan menjadi pengusaha kena pajak dapat membuat faktu pajak?,tidak,Pasal 14 ayat 1
Keuangan,UU_1983_8,Q6,4,kepada siapa pengusaha kena pajak melaporkan penghitungan pajak,direktorat jenderal pajak,Pasal 15 ayat 1
Keuangan,UU_1983_8,Q6,5,kapan kelebihan pembayaran pajak atas barang yang diekspor dikembalikan?,dalam waktu satu bulan,Pasal 16 ayat 2
Keuangan,UU_1994_11,Q6,1,Berapa kali pajak penjualan atas barang merah dikenakan?,hanya satu kali pada waktu penyerahan barang kena pajak yang tergolong mewah,Pasal 5 ayat 2
Keuangan,UU_1994_11,Q6,2,berapakah tarif pajak pertambahan nilai atas ekspor barang kena pajak?,nol persen,Pasal 7 ayat 2
Keuangan,UU_1994_11,Q6,3,"siapa yang menetapkan tata cara pemungutan, penyetoran, dan pelaporan pajak yang dilakukan oleh pemungut pajak pertambahan nilai?",Menteri keuangan,Pasal 16A ayat 2
Keuangan,UU_1994_11,Q6,4,bagaimana cara menghitung pajak pertambahan nilai yang terhutang?,dengan mengalikan tarif dengan dasar pengenaan pajak,Pasal 9 ayat 1
Keuangan,UU_1994_11,Q6,5,siapa yang menetapkan tata cara pembetulan faktur pajak?,direktur jenderal pajak,Pasal 13 ayat 4
Keuangan,UU_2000_18,Q6,1,apakah jasa pelayanan kesehatan medis dikenai pajak pertambahan nilai?,tidak,Pasal 4a ayat 3
Keuangan,UU_2000_18,Q6,2,siapa yang wajib membuat faktur pajak untuk setiap barang kena pajak?,pengusaha kena pajak,Pasal 13 ayat 1
Keuangan,UU_2000_18,Q6,3,berapa tempat pajak terutang yang dapat ditetapkan Direktorat Jenderal Pajak?,satu tempat atau lebih,Pasal 12 ayat 2
Keuangan,UU_2000_18,Q6,4,apakah pengusaha kena pajak dapat meminta kembali pajak penjualan atas barang mewah yang telah dibayar?,ya,Pasal 10 ayat 3
Keuangan,UU_2000_18,Q6,5,apakah emas dikenakan pajak pertambahan nilai?,tidak,Pasal 4a ayat 2
Keuangan,UU_2009_42,Q6,1,apa saja yang termasuk dasar pengenaan pajak?,nilai ekspor atau penggantian atau nilai lain atau nilai impor atau harga jual yang dipakai sebagai dasar untuk menghitung pajak yang terutang,Pasal 1
Keuangan,UU_2009_42,Q6,2,Kapan waktu terutangnya pajak terjadi?,paling rendah sepuluh persen dan paling tinggi dua ratus persen,Pasal 8 ayat 1
Keuangan,UU_2009_42,Q6,3,apa yang harus dipenuhi oleh faktur pajak?,persyaratan formal dan material,Pasal 13 ayat 9
Keuangan,UU_2009_42,Q6,4,kapan faktur pajak harus dibuat?,paling lama pada akhir bulan penyerahan,Pasal 13 ayat 2a
Keuangan,UU_2009_42,Q6,5,siapa yang memungut pajak dalam hal impor?,direktorat jenderal pajak bea dan cukai,Pasal 12 ayat 3
Keuangan,PP_2013_47,Q6,1,apakah impor barang yang dilakukan pejabat badan internasional dikenakan pajak?,tidak,Pasal 2 ayat 1
Keuangan,PP_2013_47,Q6,2,apakah dasar pembebasan pajak pertambahan nilai kepada perwakilan negara asing?,asas timbal balik,Pasal 3 ayat 1
Keuangan,PP_2013_47,Q6,3,siapakah yang dapat memberikan pembebasan pajak pertambahan nilai?,Menteri keuangan,Pasal 3 ayat 3
Keuangan,PP_2013_47,Q6,4,pejabat badan internasional seperti apakah yang diberikan pembebasan pajak pertambahan nilai?,pejabat badan internasional yang telah mendapatkan rekomendasi dari menteri sekretaris negara,Pasal 4 ayat 2
Keuangan,PP_2013_47,Q6,5,siapa yang dapat menerbitkan surat pembebasan pajak pertambahan nilai?,Menteri keuangan,Pasal 5
Keuangan,PP_2015_15,Q6,1,apa fasilitas yang diberikan pada penyerahan bahan bakar minyak untuk kapal angkatan luar negeri?,Pajak Pertambahan Nilai tidak dipungut,Pasal 2 ayat 1
Keuangan,PP_2015_15,Q6,2,apa saja bahan bakar minyak yang diberikan fasilitas pajak pertambahan nilai tidak dipungut?,marine fuel oil 380 dan marine gas oil,Pasal 2 ayat 2
Keuangan,PP_2015_15,Q6,3,apa syarat fasilitas pajak pertambahan nilai tidak dipungut dapat diberikan pada penyerahan bahan bakar minyak untuk kapal angkatan luar negeri?,pengusaha kena pajak yang melakukan penyerahan bahan bakar minyak memiliki fasilitas penyimpanan dan pengolahan bahan bakar minyak di dalam negeri,Pasal 3 ayat 1
Keuangan,PP_2015_15,Q6,4,apa yang harus dilakukan pengusaha kena pajak yang mendapatkan fasilitas pajak pertambahan nilai tidak dipungut?,menerbitkan faktur pajak,Pasal 4 ayat 1
Keuangan,PP_2015_15,Q6,5,apa yang harus dilampitkan dalam faktur pajak yang diterbitkan pengusaha kena pajak yang mendapatkan fasilitas pajak pertambahan nilai tidak dipungut?,surat persetujuan berlayar,Pasal 4 ayat 3
Pelayanan Publik,UU_2008_37,Q6,1,Di manakah ombudsman berkedudukan?,Ibu kota negara Republik Indonesia,Pasal 5 ayat 1
Pelayanan Publik,UU_2008_37,Q6,2,Apakah Ombudsman dapat mencampuri kebebasan hakim dalam memberikan putusan?,Tidak,Pasal 9
Pelayanan Publik,UU_2008_37,Q6,3,berapa anggota yang dimiliki ombudsman?,"1. satu orang Ketua merangkap anggota;
2. satu orang Wakil Ketua merangkap anggota; dan
3. tujuh orang anggota.",Pasal 11 ayat 1
Pelayanan Publik,UU_2008_37,Q6,4,berapa lama ketua ombudsman memegang jabatan?,lima tahun,Pasal 17
Pelayanan Publik,UU_2008_37,Q6,5,siapa yang berhak menyampaikan laporan kepada ombudsman?,penduduk atau setiap warga negara indonesia,Pasal 23
Pelayanan Publik,UU_2009_25,Q6,1,terdiri dari apa sajakah ruang lingkup pelayanan publik,"pelayanan barang publik, pelayanan jasa publik, dan pelayanan administratif",Pasal 5 ayat 1
Pelayanan Publik,UU_2009_25,Q6,2,apa yang diperlukan untuk menjamin kelancaran penyelenggaran pelayanan publik?,pembina dan penanggung jawab,Pasal 6 ayat 1
Pelayanan Publik,UU_2009_25,Q6,3,siapa yang mengelola sistem informasi pelayanan publik?,menteri,Pasal 23 ayat 2
Pelayanan Publik,UU_2009_25,Q6,4,siapa yang bertanggung jawab atas biaya/tarif pelayanan publik?,negara dan/atau masyarakat,Pasal 31 ayat 1
Pelayanan Publik,UU_2009_25,Q6,5,siapa yang melakukan pengawasan penyelenggaraan pelayanan publik?,pengawas internal dan pengawas eksternal,Pasal 35 ayat 1
Pelayanan Publik,PP_2012_96,Q6,1,apakah yang dapat dijadikan acuan penilaian penyelenggaraan pelayanan publik?,standar pelayanan,Pasal 31
Pelayanan Publik,PP_2012_96,Q6,2,siapakah yang menyusun standar pelayanan publik?,penyelenggara pelayanan publik,Pasal 22 ayat 1
Pelayanan Publik,PP_2012_96,Q6,3,apakah penyelenggara pelayanan publik wajib mengikutsertakan masyarakat dalam penyelenggaraan pelayanan publik?,ya,Pasal 40
Pelayanan Publik,PP_2012_96,Q6,4,siapa yang melakukan pembinaan dan pengawasan umum pelayanan publik di daerah?,menteri yang menyelenggarakan urusan pemerintahan di bidang dalam negeri,Pasal 48 ayat 3
Pelayanan Publik,PP_2012_96,Q6,5,apa sanksi bagi penyelenggara pelayanan publik melanggar ketentuan?,"dikenai sanksi pembebasan dari jabatan;
dikenai sanksi pemberhentian dengan hormat atas permintaan sendiri;
dikenai sanksi penurunan gaji sebesar satu kali .",Pasal 49 ayat 4
Pelayanan Publik,PERMEN_HUB_2017_19,Q6,1,siapa yang menetapkan standar pelayanan publik dilingkungan kementerian perhubungan yang telah disepakati?,pimpinan unit penyelenggara pelayanan publik,Pasal 5 ayat 1
Pelayanan Publik,PERMEN_HUB_2017_19,Q6,2,kepada siapa standar pelayanan publik di lingkungan kementerian perhubungan yang telah ditetapkan harus dilaporkan?,masing-masing pimpinan unit kerja eselon I,Pasal 5 ayat 2
Pelayanan Publik,PERMEN_HUB_2017_19,Q6,3,apa acuan dari penerapan pelayanan publik dilingkungan kementerian perhubungan?,standar pelayanan yang telah ditetapkan,Pasal 6 ayat 1
Pelayanan Publik,PERMEN_HUB_2017_19,Q6,4,kemanakah hasil pemantauan dan evaluasi standar pelayanan publik harus dilaporkan?,kepada Menteri Perhubungan melalui Sekretaris Jenderal Kementerian Perhubungan,Pasal 7 ayat 4
Pelayanan Publik,PERMEN_HUB_2017_19,Q6,5,apa yang harus dilakukan untuk menerapkan standar pelayanan di lingkungan kementerian perhubungan?,menetapkan maklumat pelayanan,Pasal 8
Pelayanan Publik,PERMEN_PANRB_2017_14,Q6,1,kapan survei kepuasan masyarakat harus dilakukan oleh penyelenggara pelayanan publik?,secara berkala minimal satu kali setahun,Pasal 1 ayat 1
Pelayanan Publik,PERMEN_PANRB_2017_14,Q6,2,apakah penyelenggara pelayanan publik wajib mempublikasikan hasil survei kepuasan masyarakat?,ya,Pasal 4 ayat 1
Pelayanan Publik,PERMEN_PANRB_2017_14,Q6,3,kemanakah hasil survei kepuasan masyarakat terhadap penyelenggara pelayanan publik dilaporkan?,menteri pendayagunaan aparatur negara dan reformasi birokrasi,Pasal 4 ayat 2
Pelayanan Publik,PERMEN_PANRB_2017_14,Q6,4,apa kegunaaan hasil survei kepuasan masyarakat terhadap penyelenggara pelayanan publik?,sebagai dasar penyusunan indeks kepuasan masyarakat secara nasional oleh Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,Pasal 5
Pelayanan Publik,PERMEN_PANRB_2017_14,Q6,5,apakah hasil survei kepuasan masyarakat dari unit pelayanan publik wajib dievaluasi?,ya,Pasal 6
Pelayanan Publik,PERATURAN_BATAN_2017_13,Q6,1,siapa yang melaksanakan penyelenggaraan pelayanan publik?,unit kerja,Pasal 4 ayat 1
Pelayanan Publik,PERATURAN_BATAN_2017_13,Q6,2,apa yang harus disiapkan sebelum melakukan penyusunan standar pelayanan publik?,rancangan standar pelayanan publik,Pasal 7 ayat 1
Pelayanan Publik,PERATURAN_BATAN_2017_13,Q6,3,apa yang diperhatikan dalam menyusun standar pelayanan publik?,"kemampuan, kebutuhan masyarakat, dan kondisi lingkungan",Pasal 5 ayat 1
Pelayanan Publik,PERATURAN_BATAN_2017_13,Q6,4,apakah masyarakat perlu diikutsertakan dalam pembahasan rancangan standar pelayanan publik?,ya,Pasal 8 ayat 1
Pelayanan Publik,PERATURAN_BATAN_2017_13,Q6,5,kapan peninjauan ulang standar pelayanan publik dilakukan?,setiap tiga tahun,Pasal 14 ayat 1
Pendidikan dan Kebudayaan,UU_2012_12,Q6,1,siapa yang bertanggung jawab atas penyelenggaraan pendidikan tinggi?,menteri,Pasal 7 ayat 1
Pendidikan dan Kebudayaan,UU_2012_12,Q6,2,apa saja rumpun ilmu pengetahuan dan teknologi?,"rumpun ilmu agama, rumpun ilmu humaniora, rumpun ilmu sosial, rumpun ilmu alam, rumpun ilmu formal, dan rumpun ilmu terapan",Pasal 10 ayat 2
Pendidikan dan Kebudayaan,UU_2012_12,Q6,3,"siapa yang bertanggung jawab atas pembinaan, koordinasi, dan pengawasan pendidikan vokasi?",kementerian,Pasal 16 ayat 3
Pendidikan dan Kebudayaan,UU_2012_12,Q6,4,siapa yang dapat mendirikan pendidikan profesi?,"Perguruan Tinggi dan bekerja sama dengan
Kementerian, Kementerian lain, LPNK, dan/atau organisasi profesi yang bertanggung jawab atas mutu layanan profesi",Pasal 17 ayat 2
Pendidikan dan Kebudayaan,UU_2012_12,Q6,5,bagaimanakah kualifikasi dosen yang harus dimiliki  program magister?,dosen yang berkualifikasi akademik lulusan program doktor atau yang sederajat,Pasal 19 ayat 3
Pendidikan dan Kebudayaan,PP_2015_26,Q6,1,dari manakah sumber pendanaan PTN Badan Hukum?,anggaran pendapatan dan belanja negara dan selain anggaran pendapatan dan belanja negara,Pasal 2
Pendidikan dan Kebudayaan,PP_2015_26,Q6,2,dapat digunakan untuk apakah Bantuan Pendanaan PTN Badan Hukum?,"mendanai biaya operasional, biaya dosen, biaya tenaga kependidikan, biaya investasi, dan biaya pengembangan",Pasal 5
Pendidikan dan Kebudayaan,PP_2015_26,Q6,3,siapa yang menetapkan Satuan Standar Biaya PTN Badan Hukum?,menteri,Pasal 8 ayat 1
Pendidikan dan Kebudayaan,PP_2015_26,Q6,4,apa dasar dalam menetapkan tarif biaya pendidikan dari PTN Badan Hukum?,pedoman teknis penetapan tarif yang ditetapkan oleh Menteri,Pasal 9 ayat 1
Pendidikan dan Kebudayaan,PP_2015_26,Q6,5,apakah PTN Badan hukum diberikan hak pengelolaan kekayaan negara?,ya,Pasal 13
Pendidikan dan Kebudayaan,PERMEN_RISTEKDIKTI_2016_100,Q6,1,Berapa jumlah program diploma yang dapat dimiliki Universitas?,paling banyak sepuluh persen dari jumlah program sarjana,Pasal 4 ayat 1
Pendidikan dan Kebudayaan,PERMEN_RISTEKDIKTI_2016_100,Q6,2,Siapa yang menetapkan lokasi PTS yang didirikan melalui kerja sama?,menteri,Pasal 11 ayat 3
Pendidikan dan Kebudayaan,PERMEN_RISTEKDIKTI_2016_100,Q6,3,Siapa yang melakukan pembubaran PTN dan pencabutan izin PTS?,menteri,Pasal 17 ayat 1
Pendidikan dan Kebudayaan,PERMEN_RISTEKDIKTI_2016_100,Q6,4,Bagaimana jika perguruan tinggi dikenai sanksi administratif ringan berupa peringatan tertulis?,menghentikan pelanggaran dan melaksanakan kewajiban paling lama enam bulan sejak ditetapkan,Pasal 31 ayat 1
Pendidikan dan Kebudayaan,PERMEN_RISTEKDIKTI_2016_100,Q6,5,siapa yang melakukan pemeriksaan dugaan pelanggaran perguruan tinggi yang dikenai sanksi administratif sedang?,direktur jenderal pendidikan dikti,Pasal 37 ayat 2
Pendidikan dan Kebudayaan,PERMEN_KEU_2017_108,Q6,1,Kepada siapa usulan penetapan Nilai Kekayaan Awal PTN Badan Hukum disampaikan?,menteri keuangan republik indonesia,Pasal 3 ayat 1
Pendidikan dan Kebudayaan,PERMEN_KEU_2017_108,Q6,2,apa pedoman pelaksanaan likuidasi entitas akuntansi satker PTN?,ketentuan Peraturan Menteri yang mengatur mengenai pelaksanaan likuidasi entitas akuntansi pada kementerian negara/lembaga,Pasal 9 ayat 1
Pendidikan dan Kebudayaan,PERMEN_KEU_2017_108,Q6,3,"siapa yang melaksanakan pembinaan, monitoring, dan evaluasi pelaksanaan likuidasi entitas satker PTN?",Direktorat Jenderal Perbendaharaan,Pasal 10
Pendidikan dan Kebudayaan,PERMEN_KEU_2017_108,Q6,4,siapa yang menyepakati dokumen berita acara kesepakatan nilai kekayaan awal PTN Badan Hukum?,antara Kementerian Teknis dengan PTN Badan Hukum,Pasal 17 ayat 1
Pendidikan dan Kebudayaan,PERMEN_KEU_2017_108,Q6,5,Siapa yang ditugaskan untuk melakukan penelitian terhadap usulan penetapan Nilai Kekayaan Awal PTN Badan Hukum?,Direktur Jenderal Kekayaan Negara,Pasal 18 ayat 1
Pendidikan dan Kebudayaan,PERMEN_RISTEKDIKTI_2017_90,Q6,1,Kapan pelaksanaan SNMPTN dapat dilakukan?,sebelum pelaksanaan Ujian Akhir Sekolah atau Ujian Nasional pada pendidikan menengah,Pasal 4 ayat 1
Pendidikan dan Kebudayaan,PERMEN_RISTEKDIKTI_2017_90,Q6,2,Berapa kuota setiap program studi untuk calon mahasiswa baru yang mengikuti SBMPTN?,paling sedikit 30 persen dari daya tampung program studi,Pasal 5 ayat 3
Pendidikan dan Kebudayaan,PERMEN_RISTEKDIKTI_2017_90,Q6,3,Siapa yang menetapkan daya tampung setiap program studi?,dengan keputusan rektor,Pasal 6 ayat 1
Pendidikan dan Kebudayaan,PERMEN_RISTEKDIKTI_2017_90,Q6,4,Apakah PTN dapat menerima calon mahasiswa baru dengan prestasi non akademik?,ya,Pasal 13 ayat 1
Pendidikan dan Kebudayaan,PERMEN_RISTEKDIKTI_2017_90,Q6,5,Kemana pembiayaan pelaksanaan SNMPTN dibebankan?,anggaran kementerian,Pasal 16 ayat 1
Pendidikan dan Kebudayaan,PP_2014_70,Q6,1,"Apa unsur yang harus dipenuhi dalam menyelenggarakan Pendidikan Nonformal di bidang Meteorologi, Klimatologi dan Geofisika?","1. Pembentukan karakter;
2. Peningkatan ilmu pengetahuan; dan
3. Peningkatan keterampilan.",Pasal 16
Pendidikan dan Kebudayaan,PP_2014_70,Q6,2,"Apakah penyelenggaraan Pendidikan Nonformal di bidang Meteorologi, Klimatologi, dan Geofisika harus bekerja sama dengan instansi pemerintah yang bertugas dan bertanggung jawab di bidang Meteorologi, Klimatologi, dan Geofisika?",ya,Pasal 17 ayat 2
Pendidikan dan Kebudayaan,PP_2014_70,Q6,3,"Apa yang diberikan kepada sumber daya manusia yang telah mengikuti Pendidikan Nonformal bidang Meteorologi, Klimatologi, dan Geofisika?",sertifikat,Pasal 21
Pendidikan dan Kebudayaan,PP_2014_70,Q6,4,"Berapa lama waktu berlakunya sertifikat kompetensi di bidang Meteorologi, Klimatologi, dan Geofisika?",paling lama lima tahun,Pasal 25 ayat 1
Pendidikan dan Kebudayaan,PP_2014_70,Q6,5,"Apa saja yang meliputi pembinaan sumber daya manusia di bidang Meteorologi, Klimatologi, dan Geofisika?","1. pengaturan;
2. pengendalian; dan
3. pengawasan.",Pasal 27 ayat 4
Kehutanan,PERMEN_HUT_2014_91,Q6,1,Apa syarat LP-HHBK dapat disahkan,LP-HHBK sebelumnya telah dibayar lunas psdh,Pasal 7 ayat 4
Kehutanan,PERMEN_HUT_2014_91,Q6,2,Apa saja dokumen angkutan HHBK?,"1. Faktur angkutan hasil hutan bukan kayu;
2. Nota angukutan",Pasal 8 ayat 1
Kehutanan,PERMEN_HUT_2014_91,Q6,3,Siapa yang wajib menyampaikan rekapitulasi laporan bulanan pelaksanaan penatausahaan hasil hutan bukan kayu?,"Pemegang izin, pengelola hutan dan pelaku usaha",Pasal 12 ayat 1
Kehutanan,PERMEN_HUT_2014_91,Q6,4,Siapa yang melaksanakan pengawasan dan pengendalian terhadap pelaksanaan penatausahaan hasil hutan bukan kayu?,Dinas provinsi; dinas kabupaten/kota,Pasal 13 ayat 1
Kehutanan,PERMEN_HUT_2014_91,Q6,5,Apa saja yang termasuk kegiatan penatausahaan hasil hutan bukan kayu?,"1. Pembuatan LP-HHBK berdasarkan hasil pengukuran dan/atau pengujian hasil hutan bukan kayu;
2. Pembuatan LP-HHBK sesuai dengan fisik hasil hutan baik jenis, jumlah atau volume/berat;
3. Melaporkan LP-HHBK yang telah disahkan sesuai tata waktu;
4. Membuat LP-HHBK atas hasil hutan bukan kayu yang sudah dipungut/dikumpulkan;
5. Memuat dan/atau membongkar hasil hutan bukan kayu di tempat yang sesuai dengan dokumen FA-HHBK;
6. Melengkapi pengangkutan hasil hutan bukan kayu dengan FA-HHBK yang masih berlaku.",Pasal 14 ayat 2
Kehutanan,PERMEN_HUT_2014_79,Q6,1,Apa tujuan pemasukan satwa liar ke taman buru dan kebun buru?,Mendukung penyelenggaraan kegiatan perburuan,Pasal 2
Kehutanan,PERMEN_HUT_2014_79,Q6,2,Siapa yang melakukan pemasukan satwa liar ke taman buru?,"UPT KSDA setempat;
pemegang izin pengusahaan taman buru",Pasal 5 ayat 1
Kehutanan,PERMEN_HUT_2014_79,Q6,3,Siapa yang melakukan pemasukan satwa liar dari luar negeri ke taman buru?,Pemegang izin pengusahaan taman buru,Pasal 12 ayat 1
Kehutanan,PERMEN_HUT_2014_79,Q6,4,Apakah pemegang izin dapat mengangkut satwa liar ke taman buru,ya,Pasal 14 ayat 1
Kehutanan,PERMEN_HUT_2014_79,Q6,5,Apa yang harus dilengkapi saat mengangkut satwa liar ke kebun buru,Izin pemasukan,Pasal 19 ayat 4
